phase,task_type,metric,source,definition,population,unit,n_total,n_success,n_measured,coverage,timing_sources,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
target,conv,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,conv,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,conv,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,conv,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,conv,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,conv,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,legacy_aggregate,18659.10547045952,17456.0,26750.4,30683.95,39783.13000000001,4975.0,72065.0
target,conv,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,conv,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,conv,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,legacy_aggregate,636466.4888321604,640036.2952079994,1139632.3339788974,1201975.2427208994,1251015.3502670417,9785.76808300204,1294657.4806669997
target,qa,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,qa,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,qa,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,qa,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,qa,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,qa,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,legacy_aggregate,8248.25295404814,7820.5,11545.600000000006,13032.150000000001,17887.650000000005,2323.0,36952.0
target,qa,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,qa,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
target,qa,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,legacy_aggregate,624639.0798095827,627302.9869165001,1131062.320808298,1191259.6046187512,1241786.98057575,3803.6930829985067,1253194.1872919998
judge,conv,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
judge,conv,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
judge,conv,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
judge,conv,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
judge,conv,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
judge,conv,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,legacy_aggregate,2033.4978118161926,1788.0,3005.2000000000007,3670.6500000000005,5631.340000000006,870.0,36691.0
judge,conv,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
judge,conv,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
judge,conv,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,legacy_aggregate,52528.14157358404,52878.74602100055,93580.93550870076,98669.07414185026,102744.23256652159,1463.535333998152,107465.68866700181
