phase,task_type,metric,source,definition,population,unit,n_total,n_success,n_measured,coverage,timing_sources,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
target,conv,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,14918.605947516835,14099.230083000293,21325.21636700114,23885.646547946457,30091.370728542497,3939.1214170027524,54957.495250004285
target,conv,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,14918.605947516835,14099.230083000293,21325.21636700114,23885.646547946457,30091.370728542497,3939.1214170027524,54957.495250004285
target,conv,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,14918.605947516835,14099.230083000293,21325.21636700114,23885.646547946457,30091.370728542497,3939.1214170027524,54957.495250004285
target,conv,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,8552.767407155356,8081.935145499301,12043.139074403736,13578.430993451911,17595.317588231457,2815.0939580009435,31379.817749999347
target,conv,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,6365.7275570411575,5887.274270498892,9997.003595498974,11657.997289549896,15145.631214485413,369.42266700498294,28542.233457999828
target,conv,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,8347.00875273523,7871.5,11834.400000000005,13392.95,17377.540000000015,2511.0,31175.0
target,conv,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,2411707.9057531403,2382019.510582999,4427142.847204496,4676431.7451668475,4887871.04205352,0.0005829933797940612,4940778.529417003
target,conv,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,conv,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,2426626.8736543087,2399460.583188,4438695.697841,4690599.216939252,4904810.820400792,9265.957958996296,4950083.472667
target,qa,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,6718.886824390834,6427.447124999162,9363.438433696138,10582.084356099585,13237.840331712143,2235.0299999961862,19345.016833001864
