phase,task_type,metric,source,definition,population,unit,n_total,n_success,n_measured,coverage,timing_sources,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
target,conv,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,5507.744051698539,4861.902520999138,8665.396058296757,10564.363856102866,15475.48977824672,701.002416004485,38219.62212499784
target,conv,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,5507.744051698539,4861.902520999138,8665.396058296757,10564.363856102866,15475.48977824672,701.002416004485,38219.62212499784
target,conv,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,5507.744051698539,4861.902520999138,8665.396058296757,10564.363856102866,15475.48977824672,701.002416004485,38219.62212499784
target,conv,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,675.0049960120542,610.1370829965163,948.7841249996567,1096.5276046492363,1299.8177555013542,426.67566699674353,2979.7360410011606
target,conv,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,4832.69472829606,4201.200979001442,7998.609712493642,9853.567609001038,14553.967234498434,170.459375003702,37238.65316699812
target,conv,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,449.74901531728665,384.0,684.0,861.5500000000002,1056.8600000000024,250.0,1479.0
target,conv,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,832794.4202567539,809248.0843124976,1587662.4094458981,1681374.1024962005,1757947.0178215436,0.0005830006557516754,1775715.2939580046
target,conv,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,conv,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,838302.3582434896,817550.3335414978,1592879.000616396,1688464.7724793467,1762965.181322214,2971.8620409985306,1783075.9723750015
target,qa,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,2273.2893216240996,2175.612833001651,2965.477312503208,3401.336893901317,4965.915487789905,980.9805830009282,7355.20245799853
target,qa,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,2273.2893216240996,2175.612833001651,2965.477312503208,3401.336893901317,4965.915487789905,980.9805830009282,7355.20245799853
target,qa,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,2273.2893216240996,2175.612833001651,2965.477312503208,3401.336893901317,4965.915487789905,980.9805830009282,7355.20245799853
target,qa,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,662.3351605660835,591.0918330009736,942.9566298000283,1102.5424121988183,1331.656586253159,426.25204200157896,6329.734374994587
target,qa,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,1610.9161893877404,1547.199291504512,2282.2464500030037,2640.295270948264,4095.346563753351,126.77445800363785,6352.440042006492
target,qa,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,459.1676148796499,386.0,712.0,876.0,1070.0,254.0,6145.0
target,qa,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,831832.1051859658,808441.7113124982,1586872.0760000004,1680407.4855269003,1755761.4277294793,0.0007089984137564898,1774519.9979579994
target,qa,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,instrumented_stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
