run_id,phase,task_type,metric,source,definition,population,unit,n_total,n_success,n_measured,coverage,timing_sources,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
gpt-5-mini-paper-reproduction,target,conv,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
gpt-5-mini-paper-reproduction,target,conv,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
gpt-5-mini-paper-reproduction,target,conv,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
gpt-5-mini-paper-reproduction,target,conv,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
gpt-5-mini-paper-reproduction,target,conv,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
gpt-5-mini-paper-reproduction,target,conv,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,legacy_aggregate,18659.10547045952,17456.0,26750.4,30683.95,39783.13000000001,4975.0,72065.0
gpt-5-mini-paper-reproduction,target,conv,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
gpt-5-mini-paper-reproduction,target,conv,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
gpt-5-mini-paper-reproduction,target,conv,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,4570,4570,4570,1.0,legacy_aggregate,636466.4888321604,640036.2952079994,1139632.3339788974,1201975.2427208994,1251015.3502670417,9785.76808300204,1294657.4806669997
gpt-5-mini-paper-reproduction,target,qa,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
gpt-5-mini-paper-reproduction,target,qa,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,4570,4570,0,0.0,legacy_aggregate,,,,,,,
