run_id,model_id,task_type,group_type,group_value,n_total,n_evaluable,n_all_invalid,invalid_samples,exact,over,under,within_1
smoke-gpt-5-mini-medium-stream-20260711,gpt-5-mini,conv,overall,all,1,1,0,0,0.0,0.0,1.0,1.0
smoke-gpt-5-mini-medium-stream-20260711,gpt-5-mini,conv,dataset,healthbench,1,1,0,0,0.0,0.0,1.0,1.0
smoke-gpt-5-mini-medium-stream-20260711,gpt-5-mini,conv,acuity,D,1,1,0,0,0.0,0.0,1.0,1.0
smoke-gpt-5-mini-medium-stream-20260711,gpt-5-mini,qa,overall,all,1,1,0,0,1.0,0.0,0.0,1.0
smoke-gpt-5-mini-medium-stream-20260711,gpt-5-mini,qa,dataset,healthbench,1,1,0,0,1.0,0.0,0.0,1.0
smoke-gpt-5-mini-medium-stream-20260711,gpt-5-mini,qa,acuity,D,1,1,0,0,1.0,0.0,0.0,1.0
smoke-gpt-5.4-none-stream-20260711,gpt-5.4,conv,overall,all,1,1,0,0,1.0,0.0,0.0,1.0
smoke-gpt-5.4-none-stream-20260711,gpt-5.4,conv,dataset,healthbench,1,1,0,0,1.0,0.0,0.0,1.0
smoke-gpt-5.4-none-stream-20260711,gpt-5.4,conv,acuity,D,1,1,0,0,1.0,0.0,0.0,1.0
smoke-gpt-5.4-none-stream-20260711,gpt-5.4,qa,overall,all,1,1,0,0,1.0,0.0,0.0,1.0
smoke-gpt-5.4-none-stream-20260711,gpt-5.4,qa,dataset,healthbench,1,1,0,0,1.0,0.0,0.0,1.0
smoke-gpt-5.4-none-stream-20260711,gpt-5.4,qa,acuity,D,1,1,0,0,1.0,0.0,0.0,1.0
