phase,task_type,metric,source,definition,population,unit,n_total,n_success,n_measured,coverage,timing_sources,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
target,conv,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084
target,conv,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084
target,conv,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084,11719.199416002084
target,conv,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,5458.770833000017,5458.770833000017,5458.770833000017,5458.770833000017,5458.770833000017,5458.770833000017,5458.770833000017
target,conv,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,6260.247291997075,6260.247291997075,6260.247291997075,6260.247291997075,6260.247291997075,6260.247291997075,6260.247291997075
target,conv,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,5183.0,5183.0,5183.0,5183.0,5183.0,5183.0,5183.0
target,conv,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,5605.035375003354,5605.035375003354,5605.035375003354,5605.035375003354,5605.035375003354,5605.035375003354,5605.035375003354
target,conv,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,conv,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,17325.034374996903,17325.034374996903,17325.034374996903,17325.034374996903,17325.034374996903,17325.034374996903,17325.034374996903
target,qa,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711
target,qa,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711
target,qa,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711,5841.981124998711
target,qa,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,4812.363542005187,4812.363542005187,4812.363542005187,4812.363542005187,4812.363542005187,4812.363542005187,4812.363542005187
target,qa,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,1009.6748329960974,1009.6748329960974,1009.6748329960974,1009.6748329960974,1009.6748329960974,1009.6748329960974,1009.6748329960974
