phase,task_type,metric,source,definition,population,unit,n_total,n_success,n_measured,coverage,timing_sources,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
target,conv,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929
target,conv,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929
target,conv,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929,4675.514542002929
target,conv,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,623.2268749954528,623.2268749954528,623.2268749954528,623.2268749954528,623.2268749954528,623.2268749954528,623.2268749954528
target,conv,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,4052.1896250065765,4052.1896250065765,4052.1896250065765,4052.1896250065765,4052.1896250065765,4052.1896250065765,4052.1896250065765
target,conv,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,421.0,421.0,421.0,421.0,421.0,421.0,421.0
target,conv,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,1399.7930420009652,1399.7930420009652,1399.7930420009652,1399.7930420009652,1399.7930420009652,1399.7930420009652,1399.7930420009652
target,conv,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,conv,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,6076.00270799594,6076.00270799594,6076.00270799594,6076.00270799594,6076.00270799594,6076.00270799594,6076.00270799594
target,qa,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069
target,qa,request_wall_ms,client,Terminal provider request from dispatch through stream EOF.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069
target,qa,request_wall_total_ms,client,Cumulative provider request wall time across all attempts.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069,1558.6852080014069
target,qa,ttft_ms,client_stream,Terminal request dispatch to first non-empty visible text delta.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,817.2370000029332,817.2370000029332,817.2370000029332,817.2370000029332,817.2370000029332,817.2370000029332,817.2370000029332
target,qa,time_after_first_token_ms,client_stream,First visible text delta through stream EOF.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,728.5641669950564,728.5641669950564,728.5641669950564,728.5641669950564,728.5641669950564,728.5641669950564,728.5641669950564
target,qa,server_processing_ms,provider_header,Provider-reported processing duration; not pure model compute.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,355.0,355.0,355.0,355.0,355.0,355.0,355.0
target,qa,queue_wait_ms,client,Cumulative local semaphore wait across attempts.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,0.0016250050975941122,0.0016250050975941122,0.0016250050975941122,0.0016250050975941122,0.0016250050975941122,0.0016250050975941122,0.0016250050975941122
target,qa,retry_backoff_ms,client,Cumulative actual retry sleep.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,qa,total_duration_ms,client,"Logical task residence time including local queue, provider calls, and backoff.",latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,1559.0102920032223,1559.0102920032223,1559.0102920032223,1559.0102920032223,1559.0102920032223,1559.0102920032223,1559.0102920032223
judge,conv,service_latency_ms,client,All provider requests plus retry backoff; excludes local semaphore queue.,latest_parent_rows_with_status_ok,ms,1,1,1,1.0,instrumented_stream,2001.4086659939494,2001.4086659939494,2001.4086659939494,2001.4086659939494,2001.4086659939494,2001.4086659939494,2001.4086659939494
